SR.NO,RPID,SITE_NAME,TECHNOLOGY,3G_TECH,SITE_NAME_3G,LATITUDE,LONGITUDE,DHQ,DHQ_NAME,Mandal,ROUT,SHELTER,Mandal_Code,Address,MP_CONS,SDCA,PIN_CODE,BSNL_IP,IP_NAME,IP_ID,Tower_Type,2G_Tower_HT,2G_ Ant_HT,2G_Ant,2G_Ant_Make,2G_BTS,2G_Phase,2G_Commission,2G_Type,2G_SEC,2G_Conf,2G_Azimuth,2G_E1_NO,2G_Media,2G_OFC_E1,2G_FE_BW,2G_DMW,2G_DMW_Ant_DIA,2G_Far_end_RPID,2G_DMW_E1_FE,2G_DMW_E1_NO,2G_DMW_FE_BW,BSC,2G_MSC,3G_PH,3G_Commission,3G_Azimuth,3G_ID,3G_SEC,3G_ANT_HT,3G_ANT_TYPE,Field52,3G_MEDIA,3G_OFC_FE,3G_E1_NO,3G_FE_BW,3G_DMW,3G_DMW_DIA,3G_FAR_RPID,3G_E1_FE,Field61,3G_MSC,Field62,RNC,NSN_2G,NSN_3G,NSN_NEW_3G,NSN_4G,HUW_REDP,NSN_NEW_2G,NOR_IV5,NOR_IV,3G_HUW_FROM,3G_HUW_FROM_TYPE,DMW_SACFA,WORK_C,BW,BSC_PORT,WORK_2G,TOWN,WORK_2G1,TOWN1
46,CT2065,504_40171_Puttur_CT2065,2G+4G,NSN,4G_36401_CTR_Puttur_CT2065,13.44035,79.55319,E-City,Puttur,Puttur,RC,Exchange,5407.0,"puttur exge,pttur,Chittoor DT.",Tirupati,PUTTUR,517583.0,BSNL,BSNL Infra,CT2065,GBT,40.0,40.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,III,6/8/2004,S12K_ID,3.0,4-4-4,0/150/260,1.0,OFC,E1,,,,,,,,67.0,Tirupati,VII,1/31/2014,0/150/260,RRH,3.0,40.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,4.0,CT2065,CT2065,,CT2065,,,,,,,,170818YES(Ge+CPAN(PTR)+DWDM(PTR)+DWDM(TRP_STR)+PE1(2-2-21),100 Mbps,504.0,170818YES(Ge+CPAN(PTR)+DWDM(PTR)+DWDM(TRP_STR)+PE1(2-2-21),PUT,,
47,CT2067,504_40181_Satyaveedu_CT2067,2G+4G,NSN,4G_35341_Satyaveedu_CT2067,13.4438,79.9603,E-City,Satyavedu,Satyavedu,SH,Exchange,5402.0,"Satyaveedu exge,Chittoor DT.",Tirupati,SATYAVEDU,517588.0,BSNL,BSNL Infra,CT2067,GBT,40.0,37.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,III+,7/8/2004,S12K_ID,3.0,4-4-4,10/210/250,1.0,OFC,E1,,,,,,,,67.0,Tirupati,VII,8/28/2014,10/210/250,RRH,3.0,37.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,4.0,CT2067,CT2067,,,,,,,,,,030818YES(MADM(SKT)+DWDM(SKT)+DWDM(STR)+PE1(2-2-33),100 Mbps,504.0,030818YES(MADM(SKT)+DWDM(SKT)+DWDM(STR)+PE1(2-2-33),STV,,
48,CT2069,504_40191_Srikalahasti_MW_CT2069,2G+3G,NSN,553_35352_SrikalhastiMW_CT2069,13.75894,79.70275,E-City,Srikalahasti,Srikalahasti,SH,Exchange,5378.0,"Srikalahasti_MW,srikalahasti,Chittoor DT.",Tirupati,SRI KALAHASTHI,517644.0,BSNL,BSNL Infra,CT2069,GBT,100.0,32.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,I,6/4/2004,S12K_ID,3.0,4-4-4,60/190/270,1.0,OFC,E1,,,,,,,,67.0,Tirupati,VII,2/6/2014,60/190/270,RRH,3.0,32.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,553.0,CT2069,CT2069,,,,,,,,,,090818YES(MADM(SKT)+DWDM(SKT)+DWDM(STR)+PE1(2-2-33),100 Mbps,504.0,080818YES(MADM(SKT)+DWDM(SKT)+DWDM(STR)+PE1(2-2-33),SKT,,
49,CT2070,504_41151_Sudharshan_Tirumala_CT2070,2G+3G,NSN,553_36511_Sudharshan_Tirumala_CT2070,13.68036,79.35193,E-City,Tirumala,Tirupati (Urban),PP,Room,5383.0,"Sudharshan_ choultry,Tirumala,Chittoor DT.",Tirupati,CHANDRAGIRI,517504.0,NBSNL,BSNL Infra,CT2070,RTP,9.0,18.0,Tri,Agisson,NSN,IV,9/27/2006,MTC_ID,3.0,2-6-4,10/220/320,,OFC,FE,65 Mbps,,,,,,,504.0,Tirupati,VIII,8/5/2012,10/220/320,RRH,3.0,18.0,TRI,Agisson,OFC,FE,,100 Mbps,,,,,,Tiruapti,,553.0,,,,,,,,,,,,,100 Mbps,,,,,
50,CT2072,504_40201_TirupatiMainEx_CT2072,2G+3G,ZTE,346_5919_TPT_MainExge_CT2072A,13.63252,79.42218,DHQ,Tirupati,Tirupati (Urban),,Exchange,5383.0,"TRP_TirupatiMainExge,Tirupati,Chittoor DT.",Tirupati,CHANDRAGIRI,517501.0,BSNL,BSNL Infra,CT2072,RTT,21.0,27.0,Dual,XAHT,NSN,II+,6/4/2004,BTS18K_ID,3.0,6-6-6,180/230/320,2.0,OFC,E1,,,,,,,,58.0,Tirupati,V.1,3/18/2010,180/230/320,OD,3.0,27.0,Mono,Agisson,OFC,Optical,,100 Mbps,,,,,,Tiruapti,,346.0,CT2072,,,,,,,,,,,,100 Mbps,504.0,240718-YES-(E1+TRP-MADM+CAR-STM),TRP,,
51,CT2073,504_40211_TRT_Alipiri_CT2073,2G+3G,ZTE,346_5920_TPT_Alipiri_CT2073A,13.64124,79.4101,DHQ,Tirupati,Tirupati (Urban),SH,Exchange,5383.0,"TRP_Alipiri,Chittoor DT.",Tirupati,CHANDRAGIRI,517507.0,BSNL,BSNL Infra,CT2073,GBT,30.0,30.0,Mono,KATHREIN,NSN,II+,6/4/2004,S12K_ID,3.0,4-4-4,40/120/190,2.0,OFC,E1,,,,,,,,58.0,Tirupati,V.1,3/18/2010,40/120/190,RRH,3.0,30.0,Mono,Agisson,OFC,FE,,100 Mbps,,,,,,Tiruapti,,346.0,CT2073,,,,,,,,,,,,100 Mbps,504.0,180718-YES-(E1+TRP-MADM+CAR-STM),TRP,,
52,CT2074,504_40221_BalajiColony_CT2074,2G+3G,ZTE,346_5921_TPT_BalajiColony_CT2074A,13.63361,79.4105,DHQ,Tirupati,Tirupati (Urban),,Exchange,5383.0,"TRP_BalajiColony,Tirupati,Chittoor DT.",Tirupati,CHANDRAGIRI,517502.0,BSNL,BSNL Infra,CT2074,MARR-1,18.0,24.0,Mono,KATHREIN,NSN,IV,9/28/2005,S12K_ID,3.0,4-4-4,0/120/240,2.0,OFC,E1,,,,,,,,58.0,Tirupati,V.1,3/18/2010,0/120/240,RRH,3.0,24.0,Mono,Agisson,OFC,Optical,,100 Mbps,,,,,,Tiruapti,,346.0,CT2074,,,,,,,,,,,,100 Mbps,504.0,220718-YES-(FE+TRP-MADM+PE2(2-2-31)),TRP,,
53,CT2075,504_40231_Korlagunta_CT2075,2G+3G,ZTE,346_5922_Korlagunta_CT2075A,13.63832,79.42799,DHQ,Tirupati,Tirupati (Urban),SH,Exchange,5383.0,"TRP_Korlagunta,Chittoor DT.",Tirupati,CHANDRAGIRI,517501.0,BSNL,BSNL Infra,CT2075,MARR,24.0,18.0,Mono,KATHREIN,NSN,III,7/27/2004,S12K_ID,3.0,4-4-4,60/110/270,2.0,OFC,E1,,,,,,,,58.0,Tirupati,V.1,3/18/2010,60/110/270,RRH,3.0,18.0,Dual,Agisson,OFC,FE,,100 Mbps,,,,,,Tiruapti,,346.0,CT2075,,,,,,,,,,,,100 Mbps,504.0,170718-YES-(E1+TRP-MADM+CAR-STM),TRP,,
54,CT2076,504_40241_TUDA_CT2076,2G+3G,ZTE,346_5923_TPT_Tuda_CT2076A,13.62506,79.41523,DHQ,Tirupati,Tirupati (Urban),,Exchange,5383.0,"TRP_TUDA,TUDA EXGE,Tirupati,Chittoor DT.",Tirupati,CHANDRAGIRI,517501.0,BSNL,BSNL Infra,CT2076,GBT,40.0,30.0,Dual,XAHT,NSN,III,6/4/2004,BTS18K_ID,3.0,6-6-6,0/60/120,2.0,OFC,E1,,,,,,,,58.0,Tirupati,V.1,3/18/2010,0/60/120,OD,3.0,30.0,Mono,Agisson,OFC,Optical,,100 Mbps,,,,,,Tiruapti,,346.0,CT2076,,,,,,,,,,,,100 Mbps,504.0,180718-YES-(FE+TRP-MADM+PE2(2-2-31)),TRP,,
55,CT2077,504_41161_mundurMitta_CT2077,2G+3G,NSN,553_36543_mundurMitta_CT2077,13.65843,79.38289,E-City,Mamundurmitta,Tirupati (Urban),PP,Room,5383.0,tirumalad2vashanam; ajineyaswamintemple;tirumala;0517507,Tirupati,CHANDRAGIRI,517520.0,NBSNL,BSNL Infra,CT2077,GBT,100.0,30.0,Mono,HIGH WAY,NSN,IV,10/1/2005,MTC_ID,3.0,4-4-4,12/95/280,,OFC,FE,65 Mbps,,,,,,,504.0,Tirupati,VIII,1/2/2013,12/95/280,RRH,3.0,30.0,Mono,Agisson,OFC,FE,,100 Mbps,,,,,,Tiruapti,,553.0,,,,,,,,,,,,,100 Mbps,,,,,
56,CT2078,504_40251_Vadamalpet_CT2078,2G+3G,NSN,553_35363_Vadamalpet_CT2078,13.5493,79.5249,Rural,Vadamalapeta,Vadamalapeta,RC,Exchange,5399.0,"bsnl exge,Vadamalpet(V&M),Chittoor DT.",Tirupati,PUTTUR,517551.0,BSNL,BSNL Infra,CT2078,GBT,40.0,37.0,Mono,HIGH WAY,NSN,IV,12/30/2005,S8K_ID,3.0,4-4-4,90/200/350,1.0,OFC,E1,,,,,,,,67.0,Tirupati,VII +,4/20/2017,90/200/350,RRH,3.0,37.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,45 Mbps,,,,,,Tiruapti,,553.0,CT2078,CT2078,,,,,,,,,,"090618YES(CPE,fe+MADM(PTR)+DWDM(PTR)+DWDM(TRP_STR)+PE1(2-2-21)",45 Mbps,504.0,"290718YES(CPE,fe+MADM(PTR)+DWDM(PTR)+DWDM(TRP_STR)+PE1(2-2-21)",STD,,
57,CT2081,504_40261_Yerpedu_CT2081,2G+3G,NSN,553_35371_Yerpedu_CT2081,13.69362,79.59597,Rural,Yerpedu,Yerpedu,RC,Room,5377.0,"Yerpedu,Chittoor DT.",Tirupati,SRI KALAHASTHI,517619.0,NBSNL,BSNL Infra,CT2081,GBT,40.0,38.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,IV,4/30/2006,S8K_OD,3.0,2-2-2,0/110/220,1.0,OFC,E1,,,,,,,,67.0,Tirupati,VII,7/1/2014,0/110/220,RRH,3.0,38.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,553.0,CT2081,CT2081,,,,,,,,,,010818YES(GE+MADM(SKT)+DWDM(SKT)+DWDM(STR)+PE1(2-2-33),100 Mbps,504.0,010818YES(GE+MADM(SKT)+DWDM(SKT)+DWDM(STR)+PE1(2-2-33),STD,,
58,CT2092,505_50921_Anupalli_CT2092,2G+4G,NSN,4G_35383_ANUPALLI_CT2092,13.16171,79.10314,E-City,Anupalli,Chittoor,NH,OD Plinth,5421.0,"Anupalli ,Gangasagaram V,Chittoor(M&D).",Chittoor,CHITTOOR,517002.0,NBSNL,BSNL Infra,CT2092,GBT,40.0,35.0,Dual,XAHT,NSN,IV.5,4/8/2009,BTS18K_OD,3.0,4-4-4,0/90/155,,DMW,,,NEW NEC,0.6 m,BSC60-31_CTR_Greamspet_CT2002A,E1,1.0,,60.0,Tirupati,VII +,4/1/2017,0/90/155,RRH,3.0,34.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),DMW,,,100 Mbps,NEW NEC,0.6 m,CT2002,FE,,Tiruapti,50Mbps,4.0,CT2092,CT2092,,,,,CT2092,,,,2015813392@G/FXW/HYD/3156706/2016@K-19012-G/FVC/HYD2891034/2015-CFA DTD 9-12-16,010918-YES(fe+CTR(CAR)-MADM)+CTR-DWDM+TRP(DWDM)+PE1(2-2-23),100 Mbps,505.0,010918-YES(fe+CTR(CAR)-MADM)+CTR-DWDM+TRP(DWDM)+PE1(2-2-23),STD,,
59,CT2098,505_50981_Chinthaparthy_CT2098,2G+3G,NSN,553_35393_Chinthaparthy_CT2098,13.64082,78.70561,Rural,Chinthaparthy,Kalikiri,RC,Exchange,5387.0,"Chintaparti(V).,Chintaparti (M),Chittoor DT.",Rajampet,VAYALPADU,517317.0,BSNL,BSNL Infra,CT2098,GBT,40.0,38.0,Dual,XAHT,NSN,IV.5,9/4/2008,BTS18K_ID,3.0,4-4-4,90/190/280,1.0,OFC,E1,,,,,,,,68.0,Tirupati,VII +,5/1/2017,90/190/280,RRH,3.0,38.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,100 Mbps,,,,,,Tiruapti,,553.0,CT2098,CT2098,,,,,CT2098,,,,,070818-YES(FX+PKL(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-27),100 Mbps,505.0,070818-YES(FX+PKL(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-27),STD,,
60,CT2101,505_51011_CTR_BCNaidu_Clny_CT2101,2G+4G,NSN,4G_35401_BCNaidu_Clny_CT2101,13.21011,79.11553,E-City,Chittoor,Chittoor,,Room,5421.0,CTR BC NAIDU COLONY B.S.N.L CO LOCATION;H? NO 24-110-2B;CHITTOOR,Chittoor,CHITTOOR,517001.0,NBSNL,BSNL Infra,CT2101,MARR,12.0,21.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,IV.5,1/13/2009,BTS18K_ID,3.0,4-4-4,50/220/320,1.0,OFC,E1,,,,,,,,60.0,Tirupati,V.1,1/4/2014,50/220/320,RRH,3.0,21.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,4.0,CT2101,CT2101,,,,,CT2101,,,,,070718-YES(fe+CTR(CAR)-MADM)+CTR-DWDM+TRP(DWDM)+PE1(2-2-23),100 Mbps,505.0,070718-YES(fe+CTR(CAR)-MADM)+CTR-DWDM+TRP(DWDM)+PE1(2-2-23),CTR,,
61,CT2102,505_51021_CTR_RTCDepotRd_CT2102,2G+4G,NSN,4G_35412_KayanikattuStreet_CT2102,13.21516,79.09257,E-City,Chittoor,Chittoor,,Room,5421.0,"CTR_RTCDepotRd, near Hp gas,chittoor,Chittoor DT.",Chittoor,CHITTOOR,517001.0,NBSNL,BSNL Infra,CT2102,MARR,15.0,21.0,Dual,XAHT,NSN,IV.5,1/6/2009,BTS18K_ID,3.0,4-4-4,28/140/289,2.0,OFC,E1,,,,,,,,60.0,Tirupati,V.1,3/18/2010,28/140/289,RRH,3.0,21.0,Mono,Agisson,OFC,FE,,100 Mbps,,,,,,Tiruapti,,4.0,CT2102,CT2102,,,,,,,,,,060718-YES(FX+CTR(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-25),100 Mbps,505.0,060718-YES(FX+CTR(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-25),CTR,,
62,CT2103,BSC70-99__CTR_BalamuruganDairy_CT2103,2G+3G,ZTE,346_35422_BalmurganDairy_CT2103,13.18911,79.08806,E-City,Chittoor,Chittoor,NH,Room,5421.0,"Balamurugan dairy,Chittoor,Chittoor DT.",Chittoor,CHITTOOR,517001.0,NBSNL,BSNL Infra,CT2103,MARR,15.0,24.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),Nortel,IV.5,2/6/2009,BTS18K_ID,3.0,4-4-4,0/160/300,1.0,OFC,E1,,,,,,,,60.0,Tirupati,VII,1/6/2014,0/160/300,RRH,3.0,24.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,346.0,CT2103,CT2103,,,,,CT2103,,,,,,100 Mbps,505.0,090718-YES(fe+CPE+CTR(CAR)-MADM)+CTR-DWDM+TRP(DWDM)+PE1(2-2-23),CTR,,
63,CT2104,505_51041_CTR_Gandhi-Rd_CT2104,2G+4G,NSN,4G_35432_CourtBuildings_CT2104,13.22153,79.10163,E-City,Chittoor,Chittoor,SH,Room,5421.0,"CTR_Gandhi-Rd,nar court buildings,chittoor,Chittoor DT.",Chittoor,CHITTOOR,517001.0,NBSNL,BSNL Infra,CT2104,MARR,12.0,24.0,Dual,AGISSON,NSN,IV.5,1/6/2009,BTS18K_ID,3.0,4-4-4,60/145/330,2.0,OFC,E1,,,,,,,,60.0,Tirupati,V.1,3/18/2010,60/145/330,RRH,3.0,21.0,Mono,AGISSON,OFC,FE,,100 Mbps,,,,,,Tiruapti,,4.0,CT2104,CT2104,,,,,CT2104,,,,,040718-YES(FX+CTR(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-25),100 Mbps,505.0,040718-YES(FX+CTR(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-25),CTR,,
64,CT2105,505_51051_CTR_SVEnggCollege_CT2105,2G+4G,NSN,4G_35443_SVEnggCollege_CT2105,13.27072,79.11858,E-City,Chittoor,Chittoor,NH,Room,5421.0,"CTR_SVEnggCollege.Chittoor,Chittoor DT.",Chittoor,CHITTOOR,517127.0,NBSNL,BSNL Infra,CT2105,MARR,15.0,24.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,IV.5,2/7/2009,BTS18K_ID,3.0,4-4-4,0/70/190,1.0,OFC,E1,,,,,,,,60.0,Tirupati,V.1,2/6/2014,0/70/190,RRH,3.0,24.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,4.0,CT2105,CT2105,,,,,CT2105,,,,,"070718-YES(CPE,fe+CTR(CAR)-MADM)+CTR-DWDM+TRP(DWDM)+PE1(2-2-23)",100 Mbps,505.0,"070718-YES(CPE,fe+CTR(CAR)-MADM)+CTR-DWDM+TRP(DWDM)+PE1(2-2-23)",CTR,,
65,CT2107,505_51071_CT-Samudram_CT2107,2G+3G,NSN,553_35452_CTSamudram_CT2107,13.6474,78.56329,Rural,CTSamudram,Madanapalle,RC,Exchange,5392.0,"Ctsamudram,Chittoordt.",Rajampet,MADANAPALLI,517319.0,BSNL,BSNL Infra,CT2107,GBT,40.0,40.0,Dual,XAHT,NSN,IV.5,8/30/2008,BTS18K_ID,3.0,4-4-4,90/180/270,1.0,OFC,E1,,,,,,,,68.0,Tirupati,VII +,3/7/2017,90/180/270,RRH,3.0,39.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,553.0,CT2107,CT2107,,,,,,,,,,210618-YES(FX+MDP3/8(PTN)-CTR(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-27),100 Mbps,505.0,210618-YES(FX+MDP3/8(PTN)-CTR(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-27),STD,,
66,CT2108,504_40271_EKM-2_Nagari_CT2108,2G+3G,NSN,553_35461_EKM-2_Nagari_CT2108,13.31931,79.58461,E-City,Nagari,Nagari,SH,Room,5406.0,"EKM-2,Nagari(M),Chittoor DT.",Tirupati,PUTTUR,517590.0,NBSNL,BSNL Infra,CT2108,MARR,15.0,21.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,IV.5,1/20/2009,BTS18K_ID,3.0,4-4-4,20/180/260,1.0,OFC,E1,,,,,,,,67.0,Tirupati,VII,4/24/2014,20/180/260,RRH,3.0,21.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,70 Mbps,,,,,,Tiruapti,,553.0,CT2108,CT2108,,,,,CT2108,,,,,060718YES(GE+MADM1-3-5(EKM)+MADM(PTR)+DWDM(PTR)+DWDM(TRP_STR)+PE1(2-2-21),70 Mbps,504.0,280718YES(GE+MADM1-3-5(EKM)+MADM(PTR)+DWDM(PTR)+DWDM(TRP_STR)+PE1(2-2-21),EKM,,
67,CT2109,505_51091_Gadanki_CT2109,2G+3G,NSN,553_35471_Gadanki_CT2109,13.46101,79.17194,Rural,Gadanki,Pakala,RC,OD Plinth,5396.0,"Gadanki(V),NARL,pakala(M),Chittoor DT.",Chittoor,PAKALA,517112.0,NBSNL,BSNL Infra,CT2109,GBT,40.0,38.0,Dual,XAHT,NSN,IV.5,2/27/2009,BTS18K_OD,3.0,4-4-4,35/235/330,1.0,OFC,E1,,,,,,,,60.0,Tirupati,VII +,3/4/2017,35/235/330,RRH,3.0,38.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,60 Mbps,,,,,,Tiruapti,,553.0,CT2109,CT2109,,,,,CT2109,,,,,250818-YES-(FE+PKA_PTN+NIB+PE-GE1(2-2-19)),60 Mbps,505.0,250818-YES-(FE+PKA_PTN+NIB+PE-GE1(2-2-19)),STD,,
68,CT2111,505_51111_G_K_Manchi_CT2111,2G+3G,NSN,553_35481_G_K_Manchi_CT2111,13.19635,78.99897,Rural,GKManchi,Bangarupalem,NH,Exchange,5429.0,"G_K_Manchi,Bangarupalem(M),Chittoor DT.",Chittoor,BANGARUPALYAM,517416.0,BSNL,BSNL Infra,CT2111,GBT,60.0,35.0,Dual,XAHT,NSN,IV.5,6/10/2009,S12K_ID,3.0,4-4-4,90/180/280,,DMW,,,NEW NEC(HFCL),1.21.2,BSC60-27_CTR_Santhpeta_CT2004,FE,,,70.0,Tirupati,VII +,5/1/2017,90/180/280,RRH,3.0,35.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,50 Mbps,,,,,,Tiruapti,,553.0,CT2111,CT2111,,,,,,,,,,180818-YES(FX+CTR(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-25),50 Mbps,505.0,180818-YES(FX+CTR(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-25),STD,,
69,CT2113,505_51131_Edigapalli_CT2113,2G+3G,NSN,553_36661_Edigapalli_CT2113,13.47056,78.54082,Rural,Edigapalli,Punganur,NH,OD Plinth,5415.0,"Edigapalli(V),Punganu(M),Chittoor DT.-517330",Rajampet,PUNGANUR,517247.0,NBSNL,BSNL Infra,CT2113,GBT,40.0,39.0,Dual,XAHT,NSN,IV.5,11/25/2008,BTS18K_ID,3.0,4-4-4,0/120/240,1.0,OFC,FE,,,,,,,,70.0,Tirupati,,,,,,,,,,,,,,,,,,,,553.0,CT2113,,,,,,CT2113,,,,2017265549@12/9/2017@,,,505.0,260818-YES-(E1+STR-MADM+STR-STM),STD,,
70,CT2120,505_51201_Kalikiri2_CT2120,2G+4G,NSN,4G_35503_Kalikiri2_CT2120,13.64175,78.80133,E-City,Kalikiri,Kalikiri,RC,Room,5387.0,"near rama temple.,Kalikiri,Chittoor DT.",Rajampet,VAYALPADU,517224.0,NBSNL,BSNL Infra,CT2120,MARR,15.0,21.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,IV.5,1/29/2009,BTS18K_ID,3.0,4-4-4,80/190/310,1.0,OFC,E1,,,,,,,,68.0,Tirupati,VII,9/6/2016,80/190/310,RRH,3.0,21.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,4.0,CT2120,CT2120,,,,,CT2120,,,,,140818-YES(FX+VYP(PTN)-CTR(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-27),100 Mbps,505.0,140818-YES(FX+VYP(PTN)-CTR(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-27),STD,,
71,CT2123,504_40281_Kammapalli_CT2123,2G+3G,NSN,553_35511_KAMMAPALLI_CT2123,13.55506,79.45015,Rural,Kammapalli,Ramachandrapuram,,Exchange,5398.0,"BSNL TOWER,Telephone Exchange,Kammapalli(V&M),Chittoor DT.",Tirupati,PUTTUR,517561.0,BSNL,BSNL Infra,CT2123,GBT,40.0,35.0,Dual,XAHT,NSN,IV.5,9/18/2008,BTS18K_ID,3.0,4-4-4,90/220/300,1.0,OFC,E1,,,,,,,,58.0,Tirupati,VII +,1/7/2017,90/220/300,RRH,3.0,37.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,553.0,CT2123,CT2123,,,,,CT2123,,,,,080918YES(fx+CPAN(PTR)+DWDM(PTR)+DWDM(TRP_STR)+PE1(2-2-21),100 Mbps,504.0,080918YES(fx+CPAN(PTR)+DWDM(PTR)+DWDM(TRP_STR)+PE1(2-2-21),STD,,
72,CT2131,505_51311_kuppam-2_CT2131,2G+3G,NSN,553_35521_Kuppam-2_CT2131,12.75078,78.33883,E-City,Kuppam,kuppam,,Room,5427.0,"Kuppam palace,kuppam,Chittoor DT.",Chittoor,KUPPAM,517425.0,NBSNL,BSNL Infra,CT2131,MARR,15.0,21.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,IV.5,1/26/2009,BTS18K_ID,3.0,4-4-4,320/90/180,1.0,OFC,E1,,,,,,,,70.0,Tirupati,VII,2/19/2014,320/90/180,RRH,3.0,21.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,60 Mbps,,,,,,Tiruapti,,553.0,CT2131,CT2131,,,,,CT2131,,,,,240818YES(FE+MADM(KPM)+MADM(STR)+PE2(2-2-37),60 Mbps,505.0,240818YES(FE+MADM(KPM)+MADM(STR)+PE2(2-2-37),KPM,,
73,CT2134,505_51341_MDP_NehruBazar_CT2134,2G+4G,NSN,4G_35533_NehruBazar_CT2134,13.55037,78.50316,E-City,Madanapalle,Madanapalle,,Room,5392.0,"Nehru Bazar,Madanapalli,Chittoor DT.",Rajampet,MADANAPALLI,517325.0,NBSNL,BSNL Infra,CT2134,MARR,12.0,21.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,IV.5,8/30/2008,S12K_ID,3.0,4-4-4,60/220/310,1.0,OFC,E1,,,,,,,,68.0,Tirupati,VII,12/16/2013,60/220/310,RRH,3.0,21.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,4.0,CT2134,CT2134,,,,,,,,,,140718-YES-(FX(E1)+MADM(STR)+PE2(2-2-29)),100 Mbps,505.0,140718-YES-(FX(E1)+MADM(STR)+PE2(2-2-29)),MDP,,
74,CT2135,505_51351_MDP_LVKAlyanamandapam_CT2135,2G+4G,NSN,4G_35542_LVKAlyanamandapam_CT2135,13.56409,78.51189,E-City,Madanapalle,Madanapalle,SH,Room,5392.0,lvk mandapam;tirupati road madanapalli;madanapalli mandal;517325,Rajampet,MADANAPALLI,517325.0,NBSNL,BSNL Infra,CT2135,MARR,12.0,24.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,IV.5,12/16/2008,BTS18K_ID,3.0,4-4-4,40/150/320,1.0,OFC,E1,,,,,,,,68.0,Tirupati,VII,12/16/2013,40/150/320,RRH,3.0,24.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,4.0,CT2135,CT2135,,,,,CT2135,,,,,210718-YES-(FX(E1)+MADM(STR)+PE2(2-2-29)),100 Mbps,505.0,210718-YES-(FX(E1)+MADM(STR)+PE2(2-2-29)),MDP,,
