SR.NO,RPID,SITE_NAME_3G,SITE_NAME,TECHNOLOGY,3G_TECH,LATITUDE,LONGITUDE,DHQ,DHQ_NAME,Mandal,ROUT,SHELTER,Mandal_Code,Address,MP_CONS,SDCA,PIN_CODE,BSNL_IP,IP_NAME,IP_ID,Tower_Type,2G_Tower_HT,2G_ Ant_HT,2G_Ant,2G_Ant_Make,2G_BTS,2G_Phase,2G_Commission,2G_Type,2G_SEC,2G_Conf,2G_Azimuth,2G_E1_NO,2G_Media,2G_OFC_E1,2G_FE_BW,2G_DMW,2G_DMW_Ant_DIA,2G_Far_end_RPID,2G_DMW_E1_FE,2G_DMW_E1_NO,2G_DMW_FE_BW,BSC,2G_MSC,3G_PH,3G_Commission,3G_Azimuth,3G_ID,3G_SEC,3G_ANT_HT,3G_ANT_TYPE,Field52,3G_MEDIA,3G_OFC_FE,3G_E1_NO,3G_FE_BW,3G_DMW,3G_DMW_DIA,3G_FAR_RPID,3G_E1_FE,Field61,3G_MSC,Field62,RNC,NSN_2G,NSN_3G,NSN_NEW_3G,NSN_4G,HUW_REDP,NSN_NEW_2G,NOR_IV5,NOR_IV,3G_HUW_FROM,3G_HUW_FROM_TYPE,DMW_SACFA,WORK_C,BW,BSC_PORT,WORK_2G,TOWN,WORK_2G1,TOWN1
1,CT2001,553_35012_Bangarupalem_CT2001,505_50011_NH4_Bangarupalem_CT2001,2G+3G,NSN,13.2025,78.91376,Rural,Bangarupalem,Bangarupalem,NH,Exchange,5429.0,"Bangarupalem exge(v&M),Chittoor DT.",Chittoor,BANGARUPALYAM,517416.0,BSNL,BSNL Infra,CT2001,GBT,60.0,40.0,Mono,HIGH WAY,NSN,I,6/12/2004,BTS18K_ID,3.0,4-4-4,100/250/180,,DMW,,,NEW NEC(HFCL),0.91.2,BSC70-12_G_K_Manchi_CT2111,FE,,,70.0,Tirupati,VII +,4/21/2017,100/250/180,RRH,3.0,40.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,50 Mbps,,,,,,Tiruapti,,553,CT2001,CT2001,,,,,CT2001,,,,,230818-YES(FE+CTR(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-25),50 Mbps,505.0,230818-YES(FE+CTR(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-25),BAN,,
2,CT2007,553_35051_Kalrodpalli_CT2007,505_50071_Kalrodpalli_CT2007,2G+3G,NSN,13.51366,79.21043,Rural,Kalroadpalli,Pakala,RC,Room,5396.0,"Kalrodpalli,pakala(M),Chittoor DT.",Chittoor,PAKALA,517112.0,NBSNL,BSNL Infra,CT2007,GBT,40.0,40.0,Mono,HIGH WAY,NSN,IV,3/9/2006,S8K_OD,3.0,4-4-4,40/120/225,1.0,OFC,E1,,,,,,,,60.0,Tirupati,,,,RRH,,,,,,,,45 Mbps,,,,,,,,553,CT2007,,CT2007,,,,,,,,,"200518YES(CPE,fe1+MADM3/17fx(CDR)+PTN5/5(CDR)+PTN4/5(TRP)+PE-GE1(2-2-19))",45 Mbps,505.0,"130618YES(CPE,fe1+MADM3/17fx(CDR)+PTN5/5(CDR)+PTN4/5(TRP)+PE-GE1(2-2-19))",STD,,
3,CT2012,553_35083_Nagalapuram_CT2012,504_40011_Nagalapuram-CTR_CT2012,2G+3G,NSN,13.38473,79.79882,Rural,Nagalapuram,Nagalapuram,NH,OD Plinth,5403.0,Nagalapuram TE-CTR dt.,Tirupati,SATYAVEDU,517589.0,BSNL,BSNL Infra,CT2012,GBT,40.0,39.0,Mono,HIGH WAY,NSN,IV,5/8/2006,S12K_OD,3.0,4-4-4,70/140/290,1.0,OFC,E1,,,,,,,,67.0,Tirupati,VII +,5/18/2017,70/140/290,RRH,3.0,36.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,50 Mbps,,,,,,Tiruapti,,553,CT2012,CT2012,,,,,,,,,,140818YES(FX(E1)+MADM1-(EKM)+MADM(PTR)+DWDM(PTR)+DWDM(TRP_STR)+PE1(2-2-21),50 Mbps,504.0,140818YES(FX(E1)+MADM1-(EKM)+MADM(PTR)+DWDM(PTR)+DWDM(TRP_STR)+PE1(2-2-21),STD,,
4,CT2016,553_35121_Srikalahasti-E-seva_CT2016,504_40021_SrikalahastiE-seva_CT2016,2G+3G,NSN,13.75123,79.70339,E-City,Srikalahasti,Srikalahasti,,Room,5378.0,"SrikalahastiE-seva,srikalahasti,Chittoor DT.",Tirupati,SRI KALAHASTHI,517644.0,NBSNL,BSNL Infra,CT2016,MARR,18.0,27.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,IV,3/20/2006,S12K_ID,3.0,4-4-4,5/120/249,1.0,OFC,E1,,,,,,,,67.0,Tirupati,VII,2/13/2013,5/120/249,RRH,3.0,27.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,553,CT2016,CT2016,,,,,,,,,,040818YES(FE+MADM(SKT)+DWDM(SKT)+DWDM(STR)+PE1(2-2-33),100 Mbps,504.0,040818YES(FE+MADM(SKT)+DWDM(SKT)+DWDM(STR)+PE1(2-2-33),SKT,,
5,CT2017,553_3652_TPT_Tirumala_CT2017,504_41131_TPT_Tirumala_CT2017,2G+3G,NSN,13.68069,79.34947,E-City,Tirumala,Tirupati (Urban),PP,Exchange,5383.0,"Tirumala,Chittoor DT.",Tirupati,CHANDRAGIRI,517504.0,BSNL,BSNL Infra,CT2017,GBT,40.0,40.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,II+,6/4/2004,MTC_ID,3.0,6-6-6,0/60/120,,OFC,FE,65 Mbps,,,,,,,504.0,Tirupati,VIII,3/18/2010,0/60/120,RRH,3.0,40.0,Dual,Agisson,OFC,FE,,100 Mbps,,,,,,Tiruapti,,553,,,,,,,,,,,,,100 Mbps,,,,,
6,CT2024,553_35133_Chinnagottigallu_CT2024,505_50241_Chinnagottigallu_CT2024,2G+3G,NSN,13.65255,79.08792,Rural,Chinnagottigallu,Chinnagottigallu,NH,Exchange,5385.0,"Chinnagottigallu(V&M),Chittoor DT.",Rajampet,PILER,517193.0,BSNL,BSNL Infra,CT2024,GBT,40.0,40.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,III,6/23/2004,S8K_ID,3.0,4-4-4,20/120/230,1.0,OFC,E1,,,,,,,,68.0,Tirupati,VII,6/11/2014,20/120/230,RRH,3.0,40.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,553,CT2024,CT2024,,,,,,,,,,210818-YES(Fe+PIL(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-27),100 Mbps,505.0,210818-YES(Fe+PIL(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-27),STD,,
7,CT2029,553_35161_Putalapattu_CT2029,505_50291_NH18_Putalapattu_CT2029,2G+3G,NSN,13.34398,79.09385,Rural,Puthalapattu,Puthalapattu,NH,Room,5410.0,"putalapattu(V&M),Chittoor DT.",Chittoor,CHITTOOR,517124.0,BSNL,BSNL Infra,CT2029,GBT,60.0,38.0,Mono,HIGH WAY,NSN,I,6/4/2004,S12K_ID,3.0,4-4-4,50/160/260,2.0,OFC,E1,,,,,,,,60.0,Tirupati,VII +,4/22/2017,50/160/260,RRH,3.0,38.0,Mono,MOBI (MB3F-65-18DE10+MBRET-RCU-003),OFC,FE,,100 Mbps,,,,,,Tiruapti,,553,CT2029,CT2029,,,,,,,,,,110718-YES(fe+CTR(CAR)-MADM)+CTR-DWDM+TRP(DWDM)+PE1(2-2-23),100 Mbps,505.0,110718-YES(fe+CTR(CAR)-MADM)+CTR-DWDM+TRP(DWDM)+PE1(2-2-23),STD,,
8,CT2032,553_35182_Chandragiri_CT2032,504_40091_Chandragiri_CT2032,2G+3G,NSN,13.58842,79.31548,DHQ,Chandragiri,Chandragiri,NH,Exchange,5384.0,"Chandragiri TE,busstand area,Chandragiri(m),Chittoor DT.",Tirupati,CHANDRAGIRI,517101.0,BSNL,BSNL Infra,CT2032,GBT,40.0,36.0,Mono,KATHREIN,NSN,II+,6/4/2004,S12K_ID,3.0,4-4-4,40/140/230,1.0,OFC,E1,,,,,,,,58.0,Tirupati,V.1,3/18/2010,40/140/230,RRH,3.0,36.0,Mono,Agisson,OFC,FE,,100 Mbps,,,,,,Tiruapti,,553,CT2032,CT2032,,,,,,,,,,100718-YES-(GE+CDR_PTN-FX3/1+NIB-4/5+PE-GE1(2-2-19)),100 Mbps,504.0,300718-YES-(GE+CDR_PTN-FX3/1+NIB-4/5+PE-GE1(2-2-19)),STD,,
9,CT2034,553_35202_Vayalapadu_CT2034,505_50341_Vayalapadu_CT2034,2G+3G,NSN,13.63963,78.62609,Rural,Chinnagottigallu,Kalikiri,RC,Exchange,5387.0,"Vayalapadu exge,Vayalpad(M),Chittoor DT.",Rajampet,VAYALPADU,517299.0,BSNL,BSNL Infra,CT2034,GBT,60.0,40.0,Dual,MOBI (MB2F&3F-65-17&17DE10&8-2015),NSN,III,9/26/2004,S12K_ID,3.0,4-4-4,80/140/340,1.0,OFC,E1,,,,,,,,68.0,Tirupati,VII,6/10/2014,80/140/340,RRH,3.0,40.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,553,CT2034,CT2034,,,,,,,,,,110818-YES(FE+VYD(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-27),100 Mbps,505.0,110818-YES(FE+VYD(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-27),STD,,
10,CT2035,553_35212_PKothakota_CT2035,505_50351_PKothakota_CT2035,2G+3G,NSN,13.40695,79.10927,Rural,P.Kothakota,Puthalapattu,NH,Exchange,5410.0,"P.kothakota,CTR,ptx(M),Chittoor DT.",Chittoor,CHITTOOR,517112.0,BSNL,BSNL Infra,CT2035,GBT,40.0,35.0,Mono,HIGH WAY,NSN,IV,12/30/2005,S8K_ID,3.0,4-4-4,20/140/230,1.0,OFC,E1,,,,,,,,60.0,Tirupati,VII +,3/4/2017,20/140/230,RRH,3.0,35.0,Dual,MOBI (MD2F&3F-65-17&17DE10&8-2015),OFC,FE,,100 Mbps,,,,,,Tiruapti,,553,CT2035,CT2035,,,,,,,,,,230818-YES(FX+PKA(PTN)-CTR(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-27),100 Mbps,505.0,230818-YES(FX+PKA(PTN)-CTR(PTN)+CTR-DWDM+TRP(DWDM)+PE2(2-2-27),STD,,
